"id","name","kana","code"
"1","桜色","さくらいろ","#fef4f4"
"2","小豆色","あずきいろ","#96514d"
"3","黄金","こがね","#e6b422"
"4","萌葱色","もえぎいろ","#006e54"
"5","古代紫","こだいむらさき","#895b8a"
"6","薄桜","うすざくら","#fdeff2"
"7","枯茶","からちゃ","#8d6449"
"8","櫨染","はじぞめ","#d9a62e"
"9","花緑青","はなろくしょう","#00a381"
"10","茄子紺","なすこん","#824880"
"11","桜鼠","さくらねず","#e9dfe5"
"12","飴色","あめいろ","#deb068"
"13","黄朽葉色","きくちばいろ","#d3a243"
"14","翡翠色","ひすいいろ","#38b48b"
"15","二藍","ふたあい","#915c8b"
"16","鴇鼠","ときねず","#e4d2d8"
"17","駱駝色","らくだいろ","#bf794e"
"18","山吹茶","やまぶきちゃ","#c89932"
"19","青緑","あおみどり","#00a497"
"20","京紫","きょうむらさき","#9d5b8b"
"21","虹色","にじいろ","#f6bfbc"
"22","土色","つちいろ","#bc763c"
"23","芥子色","からしいろ","#d0af4c"
"24","水浅葱","みずあさぎ","#80aba9"
"25","蒲葡","えびぞめ","#7a4171"
"26","珊瑚色","さんごいろ","#f5b1aa"
"27","黄唐茶","きがらちゃ","#b98c46"
"28","豆がら茶","まめがらちゃ","#8b968d"
"29","錆浅葱","さびあさぎ","#5c9291"
"30","若紫","わかむらさき","#bc64a4"
"31","一斤染","いっこんぞめ","#f5b199"
"32","桑染","くわぞめ","#b79b5b"
"33","麹塵","きくじん","#6e7955"
"34","青碧","せいへき","#478384"
"35","紅紫","べにむらさき","#b44c97"
"36","宍色","ししいろ","#efab93"
"37","櫨色","はじいろ","#b77b57"
"38","山鳩色","やまばといろ","#767c6b"
"39","御召茶","おめしちゃ","#43676b"
"40","梅紫","うめむらさき","#aa4c8f"
"41","紅梅色","こうばいいろ","#f2a0a1"
"42","黄橡","きつるばみ","#b68d4c"
"43","利休鼠","りきゅうねずみ","#888e7e"
"44","湊鼠","みなとねずみ","#80989b"
"45","菖蒲色","あやめいろ","#cc7eb1"
"46","薄紅","うすべに","#f0908d"
"47","丁字染","ちょうじぞめ","#ad7d4c"
"48","海松茶","みるちゃ","#5a544b"
"49","高麗納戸","こうらいなんど","#2c4f54"
"50","紅藤色","べにふじいろ","#cca6bf"
"51","甚三紅","じんざもみ","#ee827c"
"52","香染","こうぞめ","#ad7d4c"
"53","藍海松茶","あいみるちゃ","#56564b"
"54","百入茶","ももしおちゃ","#1f3134"
"55","浅紫","あさむらさき","#c4a3bf"
"56","桃色","ももいろ","#f09199"
"57","枇杷茶","びわちゃ","#ae7c4f"
"58","藍媚茶","あいこびちゃ","#555647"
"59","錆鼠","さびねず","#47585c"
"60","紫水晶","むらさきすいしょう","#e7e7eb"
"61","鴇色","ときいろ","#f4b3c2"
"62","芝翫茶","しかんちゃ","#ad7e4e"
"63","千歳茶","せんさいちゃ","#494a41"
"64","錆鉄御納戸","さびてつおなんど","#485859"
"65","薄梅鼠","うすうめねず","#dcd6d9"
"66","撫子色","なでしこいろ","#eebbcb"
"67","焦香","こがれこう","#ae7c58"
"68","岩井茶","いわいちゃ","#6b6f59"
"69","藍鼠","あいねず","#6c848d"
"70","暁鼠","あかつきねず","#d3cfd9"
"71","灰梅","はいうめ","#e8d3c7"
"72","胡桃色","くるみいろ","#a86f4c"
"73","仙斎茶","せんさいちゃ","#474b42"
"74","錆御納戸","さびおなんど","#53727d"
"75","牡丹鼠","ぼたんねず","#d3ccd6"
"76","灰桜","はいざくら","#e8d3d1"
"77","渋紙色","しぶかみいろ","#946243"
"78","黒緑","くろみどり","#333631"
"79","舛花色","ますはないろ","#5b7e91"
"80","霞色","かすみいろ","#c8c2c6"
"81","淡紅藤","あわべにふじ","#e6cde3"
"82","朽葉色","くちばいろ","#917347"
"83","柳煤竹","やなぎすすたけ","#5b6356"
"84","熨斗目花色","のしめはないろ","#426579"
"85","藤鼠","ふじねず","#a6a5c4"
"86","石竹色","せきちくいろ","#e5abbe"
"87","桑茶","くわちゃ","#956f29"
"88","樺茶色","かばちゃいろ","#726250"
"89","御召御納戸","おめしおなんど","#4c6473"
"90","半色","はしたいろ","#a69abd"
"91","薄紅梅","うすこうばい","#e597b2"
"92","路考茶","ろこうちゃ","#8c7042"
"93","空五倍子色","うつぶしいろ","#9d896c"
"94","鉄御納戸","てつおなんど","#455765"
"95","薄色","うすいろ","#a89dac"
"96","桃花色","ももはないろ","#e198b4"
"97","国防色","こくぼうしょく","#7b6c3e"
"98","生壁色","なまかべいろ","#94846a"
"99","紺鼠","こんねず","#44617b"
"100","薄鼠","うすねず","#9790a4"
"101","水柿","みずがき","#e4ab9b"
"102","伽羅色","きゃらいろ","#d8a373"
"103","肥後煤竹","ひごすすたけ","#897858"
"104","藍鉄","あいてつ","#393f4c"
"105","鳩羽鼠","はとばねずみ","#9e8b8e"
"106","ときがら茶","ときがらちゃ","#e09e87"
"107","江戸茶","えどちゃ","#cd8c5c"
"108","媚茶","こびちゃ","#716246"
"109","青褐","あおかち","#393e4f"
"110","鳩羽色","はとばいろ","#95859c"
"111","退紅","あらぞめ","#d69090"
"112","樺色","かばいろ","#cd5e3c"
"113","白橡","しろつるばみ","#cbb994"
"114","褐返","かちかえし","#203744"
"115","桔梗鼠","ききょうねず","#95949a"
"116","薄柿","うすがき","#d4acad"
"117","紅鬱金","べにうこん","#cb8347"
"118","亜麻色","あまいろ","#d6c6af"
"119","褐色","かちいろ","#4d4c61"
"120","紫鼠","むらさきねず","#71686c"
"121","長春色","ちょうしゅんいろ","#c97586"
"122","土器色","かわらけいろ","#c37854"
"123","榛色","はしばみいろ","#bfa46f"
"124","月白","げっぱく","#eaf4fc"
"125","葡萄鼠","ぶどうねずみ","#705b67"
"126","梅鼠","うめねず","#c099a0"
"127","狐色","きつねいろ","#c38743"
"128","灰汁色","あくいろ","#9e9478"
"129","白菫色","しろすみれいろ","#eaedf7"
"130","濃色","こきいろ","#634950"
"131","鴇浅葱","ときあさぎ","#b88884"
"132","黄土色","おうどいろ","#c39143"
"133","利休茶","りきゅうちゃ","#a59564"
"134","白花色","しらはないろ","#e8ecef"
"135","紫鳶","むらさきとび","#5f414b"
"136","梅染","うめぞめ","#b48a76"
"137","琥珀色","こはくいろ","#bf783a"
"138","鶯茶","うぐいすちゃ","#715c1f"
"139","藍白","あいじろ","#ebf6f7"
"140","濃鼠","こいねず","#4f455c"
"141","蘇芳香","すおうこう","#a86965"
"142","赤茶","あかちゃ","#bb5535"
"143","木蘭色","もくらんじき","#c7b370"
"144","白藍","しらあい","#c1e4e9"
"145","藤煤竹","ふじすすたけ","#5a5359"
"146","浅蘇芳","あさすおう","#a25768"
"147","代赭","たいしゃ","#bb5520"
"148","砂色","すないろ","#dcd3b2"
"149","水色","みずいろ","#bce2e8"
"150","滅紫","けしむらさき","#594255"
"151","真朱","まそお","#ec6d71"
"152","煉瓦色","れんがいろ","#b55233"
"153","油色","あぶらいろ","#a19361"
"154","瓶覗","かめのぞき","#a2d7dd"
"155","紅消鼠","べにけしねずみ","#524748"
"156","赤紫","あかむらさき","#eb6ea5"
"157","雀茶","すずめちゃ","#aa4f37"
"158","利休色","りきゅういろ","#8f8667"
"159","秘色色","ひそくいろ","#abced8"
"160","似せ紫","にせむらさき","#513743"
"161","躑躅色","つつじいろ","#e95295"
"162","団十郎茶","だんじゅうろうちゃ","#9f563a"
"163","梅幸茶","ばいこうちゃ","#887938"
"164","空色","そらいろ","#a0d8ef"
"165","灰黄緑","はいきみどり","#e6eae3"
"166","牡丹色","ぼたんいろ","#e7609e"
"167","柿渋色","かきしぶいろ","#9f563a"
"168","璃寛茶","りかんちゃ","#6a5d21"
"169","勿忘草色","わすれなぐさいろ","#89c3eb"
"170","蕎麦切色","そばきりいろ","#d4dcd6"
"171","今様色","いまよういろ","#d0576b"
"172","紅鳶","べにとび","#9a493f"
"173","黄海松茶","きみるちゃ","#918754"
"174","青藤色","あおふじいろ","#84a2d4"
"175","薄雲鼠","うすくもねず","#d4dcda"
"176","中紅","なかべに","#c85179"
"177","灰茶","はいちゃ","#98623c"
"178","菜種油色","なたねゆいろ","#a69425"
"179","白群","びゃくぐん","#83ccd2"
"180","枯野色","かれのいろ","#d3cbc6"
"181","薔薇色","ばらいろ","#e9546b"
"182","茶色","ちゃいろ","#965042"
"183","青朽葉","あおくちば","#ada250"
"184","浅縹","あさはなだ","#84b9cb"
"185","潤色","うるみいろ","#c8c2be"
"186","韓紅","からくれない","#e95464"
"187","檜皮色","ひわだいろ","#965036"
"188","根岸色","ねぎしいろ","#938b4b"
"189","薄花色","うすはないろ","#698aab"
"190","利休白茶","りきゅうしろちゃ","#b3ada0"
"191","銀朱","ぎんしゅ","#c85554"
"192","鳶色","とびいろ","#95483f"
"193","鶸茶","ひわちゃ","#8c8861"
"194","納戸色","なんどいろ","#008899"
"195","茶鼠","ちゃねずみ","#a99e93"
"196","赤紅","あかべに","#c53d43"
"197","柿茶","かきちゃ","#954e2a"
"198","柳茶","やなぎちゃ","#a1a46d"
"199","浅葱色","あさぎいろ","#00a3af"
"200","胡桃染","くるみぞめ","#a58f86"
"201","紅緋","べにひ","#e83929"
"202","弁柄色","べんがらいろ","#8f2e14"
"203","海松色","みるいろ","#726d40"
"204","花浅葱","はなあさぎ","#2a83a2"
"205","江戸鼠","えどねず","#928178"
"206","赤","あか","#e60033"
"207","赤錆色","あかさびいろ","#8a3319"
"208","鶯色","うぐいすいろ","#928c36"
"209","新橋色","しんばしいろ","#59b9c6"
"210","煤色","すすいろ","#887f7a"
"211","猩々緋","しょうじょうひ","#e2041b"
"212","褐色","かっしょく","#8a3b00"
"213","緑黄色","りょくおうしょく","#dccb18"
"214","天色","あまいろ","#2ca9e1"
"215","丁子茶","ちょうじちゃ","#b4866b"
"216","紅","くれない","#d7003a"
"217","栗梅","くりうめ","#852e19"
"218","鶸色","ひわいろ","#d7cf3a"
"219","露草色","つゆくさいろ","#38a1db"
"220","柴染","ふしぞめ","#b28c6e"
"221","深緋","こきひ","#c9171e"
"222","紅檜皮","べにひはだ","#7b4741"
"223","抹茶色","まっちゃいろ","#c5c56a"
"224","青","あお","#0095d9"
"225","宗伝唐茶","そうでんからちゃ","#a16d5d"
"226","緋色","ひいろ","#d3381c"
"227","海老茶","えびちゃ","#773c30"
"228","若草色","わかくさいろ","#c3d825"
"229","薄藍","うすあい","#0094c8"
"230","砺茶","とのちゃ","#9f6f55"
"231","赤丹","あかに","#ce5242"
"232","唐茶","からちゃ","#783c1d"
"233","黄緑","きみどり","#b8d200"
"234","縹色","はなだいろ","#2792c3"
"235","煎茶色","せんちゃいろ","#8c6450"
"236","紅赤","べにあか","#d9333f"
"237","栗色","くりいろ","#762f07"
"238","若芽色","わかめいろ","#e0ebaf"
"239","紺碧","こんぺき","#007bbb"
"240","銀煤竹","ぎんすすだけ","#856859"
"241","臙脂","えんじ","#b94047"
"242","赤銅色","しゃくどういろ","#752100"
"243","若菜色","わかないろ","#d8e698"
"244","薄群青","うすぐんじょう","#5383c3"
"245","黄枯茶","きがらちゃ","#765c47"
"246","朱・緋","あけ","#ba2636"
"247","錆色","さびいろ","#6c3524"
"248","若苗色","わかなえいろ","#c7dc68"
"249","薄花桜","うすはなざくら","#5a79ba"
"250","煤竹色","すすたけいろ","#6f514c"
"251","茜色","あかねいろ","#b7282e"
"252","赤褐色","せっかっしょく","#683f36"
"253","青丹","あおに","#99ab4e"
"254","群青色","ぐんじょういろ","#4c6cb3"
"255","焦茶","こげちゃ","#6f4b3e"
"256","紅海老茶","べにえびちゃ","#a73836"
"257","茶褐色","ちゃかっしょく","#664032"
"258","草色","くさいろ","#7b8d42"
"259","杜若色","かきつばたいろ","#3e62ad"
"260","黒橡","くろつるばみ","#544a47"
"261","蘇芳","すおう","#9e3d3f"
"262","栗皮茶","くりかわちゃ","#6d3c32"
"263","苔色","こけいろ","#69821b"
"264","瑠璃色","るりいろ","#1e50a2"
"265","憲法色","けんぽういろ","#543f32"
"266","真紅","しんく","#a22041"
"267","黒茶","くろちゃ","#583822"
"268","萌黄","もえぎ","#aacf53"
"269","薄縹","うすはなだ","#507ea4"
"270","涅色","くりいろ","#554738"
"271","濃紅","こいくれない","#a22041"
"272","葡萄茶","えびちゃ","#6c2c2f"
"273","苗色","なえいろ","#b0ca71"
"274","瑠璃紺","るりこん","#19448e"
"275","檳榔子染","びんろうじぞめ","#433d3c"
"276","象牙色","ぞうげいろ","#f8f4e6"
"277","葡萄色","えびいろ","#640125"
"278","若葉色","わかばいろ","#b9d08b"
"279","紺瑠璃","こんるり","#164a84"
"280","黒鳶","くろとび","#432f2f"
"281","練色","ねりいろ","#ede4cd"
"282","萱草色","かんぞういろ","#f8b862"
"283","松葉色","まつばいろ","#839b5c"
"284","藍色","あいいろ","#165e83"
"285","赤墨","あかすみ","#3f312b"
"286","灰白色","かいはくしょく","#e9e4d4"
"287","柑子色","こうじいろ","#f6ad49"
"288","夏虫色","なつむしいろ","#cee4ae"
"289","青藍","せいらん","#274a78"
"290","黒紅","くろべに","#302833"
"291","蒸栗色","むしぐりいろ","#ebe1a9"
"292","金茶","きんちゃ","#f39800"
"293","鶸萌黄","ひわもえぎ","#82ae46"
"294","深縹","こきはなだ","#2a4073"
"295","白","しろ","#ffffff"
"296","女郎花","おみなえし","#f2f2b0"
"297","蜜柑色","みかんいろ","#f08300"
"298","柳色","やなぎいろ","#a8c97f"
"299","紺色","こんいろ","#223a70"
"300","胡粉色","ごふんいろ","#fffffc"
"301","枯草色","かれくさいろ","#e4dc8a"
"302","鉛丹色","えんたんいろ","#ec6d51"
"303","青白橡","あおしろつるばみ","#9ba88d"
"304","紺青","こんじょう","#192f60"
"305","卯の花色","うのはないろ","#f7fcfe"
"306","淡黄","たんこう","#f8e58c"
"307","黄丹","おうに","#ee7948"
"308","柳鼠","やなぎねず","#c8d5bb"
"309","留紺","とめこん","#1c305c"
"310","白磁","はくじ","#f8fbf8"
"311","白茶","しらちゃ","#ddbb99"
"312","柿色","かきいろ","#ed6d3d"
"313","裏葉柳","うらはやなぎ","#c1d8ac"
"314","濃藍","こいあい","#0f2350"
"315","生成り色","きなりいろ","#fbfaf5"
"316","赤白橡","あかしろつるばみ","#d7a98c"
"317","黄赤","きあか","#ec6800"
"318","山葵色","わさびいろ","#a8bf93"
"319","鉄紺","てつこん","#17184b"
"320","乳白色","にゅうはくしょく","#f3f3f3"
"321","洗柿","あらいがき","#f2c9ac"
"322","人参色","にんじんいろ","#ec6800"
"323","老竹色","おいたけいろ","#769164"
"324","漆黒","しっこく","#0d0015"
"325","白練","しろねり","#f3f3f2"
"326","鳥の子色","とりのこいろ","#fff1cf"
"327","橙色","だいだいいろ","#ee7800"
"328","白緑","びゃくろく","#d6e9ca"
"329","淡藤色","あわふじいろ","#bbc8e6"
"330","素色","そしょく","#eae5e3"
"331","蜂蜜色","はちみついろ","#fddea5"
"332","照柿","てりがき","#eb6238"
"333","淡萌黄","うすもえぎ","#93ca76"
"334","藤色","ふじいろ","#bbbcde"
"335","白梅鼠","しらうめねず","#e5e4e6"
"336","肌色","はだいろ","#fce2c4"
"337","赤橙","あかだいだい","#ea5506"
"338","柳染","やなぎぞめ","#93b881"
"339","紅掛空色","べにかけそらいろ","#8491c3"
"340","白鼠","しろねず","#dcdddd"
"341","薄卵色","うすたまごいろ","#fde8d0"
"342","金赤","きんあか","#ea5506"
"343","薄萌葱","うすもえぎ","#badcad"
"344","紅碧","べにみどり","#8491c3"
"345","絹鼠","きぬねず","#dddcd6"
"346","雄黄","ゆうおう","#f9c89b"
"347","朱色","しゅいろ","#eb6101"
"348","深川鼠","ふかがわねずみ","#97a791"
"349","紺桔梗","こんききょう","#4d5aaf"
"350","灰青","はいあお","#c0c6c9"
"351","洒落柿","しゃれがき","#f7bd8f"
"352","小麦色","こむぎいろ","#e49e61"
"353","若緑","わかみどり","#98d98e"
"354","花色","はないろ","#4d5aaf"
"355","銀鼠","ぎんねず","#afafb0"
"356","赤香","あかこう","#f6b894"
"357","丹色","にいろ","#e45e32"
"358","浅緑","あさみどり","#88cb7f"
"359","紺藍","こんあい","#4a488e"
"360","薄鈍","うすにび","#adadad"
"361","砥粉色","とのこいろ","#f4dda5"
"362","黄茶","きちゃ","#e17b34"
"363","薄緑","うすみどり","#69b076"
"364","紅桔梗","べにききょう","#4d4398"
"365","薄墨色","うすずみいろ","#a3a3a2"
"366","肉色","にくいろ","#f1bf99"
"367","肉桂色","にっけいいろ","#dd7a56"
"368","青鈍","あおにび","#6b7b6e"
"369","桔梗色","ききょういろ","#5654a2"
"370","錫色","すずいろ","#9ea1a3"
"371","人色","ひといろ","#f1bf99"
"372","赤朽葉色","あかくちばいろ","#db8449"
"373","青磁鼠","せいじねず","#bed2c3"
"374","藤納戸","ふじなんど","#706caa"
"375","素鼠","すねずみ","#9fa0a0"
"376","丁子色","ちょうじいろ","#efcd9a"
"377","黄櫨染","こうろぜん","#d66a35"
"378","薄青","うすあお","#93b69c"
"379","紅掛花色","べにかけはないろ","#68699b"
"380","鼠色","ねずみいろ","#949495"
"381","香色","こういろ","#efcd9a"
"382","蒲公英色","たんぽぽいろ","#ffd900"
"383","錆青磁","さびせいじ","#a6c8b2"
"384","紫苑色","しおんいろ","#867ba9"
"385","源氏鼠","げんじねず","#888084"
"386","薄香","うすこう","#f0cfa0"
"387","黄色","きいろ","#ffd900"
"388","緑青色","ろくしょういろ","#47885e"
"389","白藤色","しらふじいろ","#dbd0e6"
"390","灰色","はいいろ","#7d7d7d"
"391","浅黄","うすき","#edd3a1"
"392","中黄","ちゅうき","#ffea00"
"393","千歳緑","ちとせみどり","#316745"
"394","藤紫","ふじむらさき","#a59aca"
"395","鉛色","なまりいろ","#7b7c7d"
"396","枯色","かれいろ","#e0c38c"
"397","菜の花色","なのはないろ","#ffec47"
"398","若竹色","わかたけいろ","#68be8d"
"399","菫色","すみれいろ","#7058a3"
"400","鈍色","にびいろ","#727171"
"401","淡香","うすこう","#f3bf88"
"402","黄檗色","きはだいろ","#fef263"
"403","緑","みどり","#3eb370"
"404","青紫","あおむらさき","#674598"
"405","墨","すみ","#595857"
"406","杏色","あんずいろ","#f7b977"
"407","卵色","たまごいろ","#fcd575"
"408","常磐色","ときわいろ","#007b43"
"409","菖蒲色","しょうぶいろ","#674196"
"410","丼鼠","どぶねずみ","#595455"
"411","東雲色","しののめいろ","#f19072"
"412","花葉色","はなばいろ","#fbd26b"
"413","千草鼠","ちぐさねず","#bed3ca"
"414","竜胆色","りんどういろ","#9079ad"
"415","消炭色","けしずみいろ","#524e4d"
"416","曙色","あけぼのいろ","#f19072"
"417","刈安色","かりやすいろ","#f5e56b"
"418","千草色","ちぐさいろ","#92b5a9"
"419","江戸紫","えどむらさき","#745399"
"420","藍墨茶","あいすみちゃ","#474a4d"
"421","珊瑚朱色","さんごしゅいろ","#ee836f"
"422","玉蜀黍色","とうもろこしいろ","#eec362"
"423","青磁色","せいじいろ","#7ebea5"
"424","本紫","ほんむらさき","#65318e"
"425","羊羹色","ようかんいろ","#383c3c"
"426","深支子","こきくちなし","#eb9b6f"
"427","金糸雀色","かなりあいろ","#ebd842"
"428","青竹色","あおたけいろ","#7ebeab"
"429","葡萄色","ぶどういろ","#522f60"
"430","蝋色","ろういろ","#2b2b2b"
"431","纁","そひ","#e0815e"
"432","黄支子色","きくちなしいろ","#ffdb4f"
"433","常磐緑","ときわみどり","#028760"
"434","深紫","ふかむらさき","#493759"
"435","黒","くろ","#2b2b2b"
"436","浅緋","うすきひ","#df7163"
"437","支子色","くちなしいろ","#fbca4d"
"438","木賊色","とくさいろ","#3b7960"
"439","紫黒","しこく","#2e2930"
"440","烏羽色","からすばいろ","#180614"
"441","真赭","まそほ","#d57c6b"
"442","向日葵色","ひまわりいろ","#fcc800"
"443","天鵞絨","びろうど","#2f5d50"
"444","紫","むらさき","#884898"
"445","鉄黒","てつぐろ","#281a14"
"446","洗朱","あらいしゅ","#d0826c"
"447","山吹色","やまぶきいろ","#f8b500"
"448","虫襖","むしあお","#3a5b52"
"449","薄葡萄","うすぶどう","#c0a2c7"
"450","濡羽色","ぬればいろ","#000b00"
"451","遠州茶","えんしゅうちゃ","#ca8269"
"452","鬱金色","うこんいろ","#fabf14"
"453","革色","かわいろ","#475950"
"454","紫紺","しこん","#460e44"
"455","黒檀","こくたん","#250d00"
"456","紅樺色","べにかばいろ","#bb5548"
"457","藤黄","とうおう","#f7c114"
"458","深緑","ふかみどり","#00552e"
"459","暗紅色","あんこうしょく","#74325c"
"460","憲法黒茶","けんぽうくろちゃ","#241a08"
"461","赭","そほ","#ab6953"
"462","金色","こんじき","#e6b422"
"463","鉄色","てついろ","#005243"
"464","桑の実色","くわのみいろ","#55295b"
"465","暗黒色","あんこくしょく","#16160e"